Product_Name,Price,Image_URL
REGULAR FIT FOIL PRINT T SHIRT,"₹1,499",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/SPURPASTELBROWNHM.webp
REGULAR FIT FOIL PRINT T SHIRT,"₹1,499",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/swt-7328587448391-pastel-brown.png
REGULAR FIT APPLIQUE LABEL T SHIRT,"₹1,799",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/POATDUSKYPINKHM.webp
REGULAR FIT GRAPHIC PRINT T-SHIRT,"₹1,299",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/hm_adc8d695-db63-4331-948f-57e804079d0a.webp
REGULAR FIT GRAPHIC PRINT T-SHIRT,"₹1,299",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/swt-7235207823431-black.png
GRAPHIC PRINT REGULAR FIT T-SHIRT,"₹1,799",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/RR264783_8.webp
GRAPHIC PRINT REGULAR FIT T-SHIRT,"₹1,799",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/swt-7328583057479-dark-red.png
REGULAR FIT SIGNATURE GRAPHIC PRINTED T SHIRT,"₹1,799",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/KLOZPURPLE_8_hm.webp
REGULAR FIT SIGNATURE GRAPHIC PRINTED T SHIRT,"₹1,799",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/swt-7328578404423-pastel-purple.png
GRAPHIC PRINT REGULAR FIT T-SHIRT,"₹1,999",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/RR265280-00579HM.webp
REGULAR FIT LOGO GRAPHIC PRINT T SHIRT,"₹1,799",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/RR265252cc-03444.webp
GRAPHIC PRINT REGULAR FIT T-SHIRT,"₹2,499",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/RR264244-hm.webp
GRAPHIC PRINT REGULAR FIT T-SHIRT,"₹2,499",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/swt-7328569589831-dusky-pink.png
REGULAR FIT SOLID TSHIRT WITH BRANDING,"₹1,299",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/RR264846hm.webp
REGULAR FIT SOLID TSHIRT WITH BRANDING,"₹1,299",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/swt-7328584564807-white.png
REGULAR FIT SOLID TSHIRT WITH BRANDING,"₹1,299",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/RR264853hm.webp
REGULAR FIT SOLID TSHIRT WITH BRANDING,"₹1,299",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/swt-7328584433735-dark-purple.png
REGULAR FIT SOLID TSHIRT WITH BRANDING,"₹1,299",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/RR264867-03244.webp
REGULAR FIT SOLID TSHIRT WITH BRANDING,"₹1,299",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/swt-7328584400967-dark-green.png
REGULAR FIT PLAIN T-SHIRT,"₹1,499",https://86e75ac3.nitro.getn7.io/s/files/1/0752/6435/files/VELTRADARKNAVY_1_-hm_adcd6318-b694-4898-a15c-0b2538f2773d.webp
